
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
133,2012-13,MEM*,NBA,82,56,26,.683,19805,2964,6679,2582,5572,382,1107,1349,1746,1059,2445,3504,1715,703,436,1144,1660,7659,4.15,0.18,4.33,88.4,104.9,100.3,.472,13.3,31.0,0.202,.475,15.2,25.7,0.209
134,2013-14,IND*,NBA,82,56,26,.683,19780,2949,6573,2399,5031,550,1542,1485,1907,834,2831,3665,1651,550,446,1237,1675,7933,4.40,-0.77,3.63,92.5,104.1,99.3,.490,14.3,24.9,0.226,.460,12.9,23.2,0.197
135,1977-78,PHI*,NBA,82,55,27,.671,19830,3628,7471,,,,,2153,2863,1299,2694,3993,2220,800,548,1752,2188,9409,5.15,-0.27,4.87,108.4,105.0,100.3,.486,16.7,34.4,0.288,.461,16.2,33.6,0.232
136,1979-80,PHO*,NBA,82,55,27,.671,19755,3570,7235,3502,6955,68,280,1906,2466,1071,2458,3529,2283,908,344,1629,1853,9114,3.60,-0.35,3.25,104.8,105.6,102.2,.498,16.4,30.4,0.263,.483,16.5,33.1,0.213
137,1981-82,MIL*,NBA,82,55,27,.671,19805,3544,7015,3495,6851,49,164,1753,2329,1167,2415,3582,2233,763,455,1589,2281,8890,5.48,-0.10,5.38,100.0,107.7,102.3,.509,16.5,35.1,0.250,.471,15.9,32.7,0.253
138,1986-87,DAL*,NBA,82,55,27,.671,19880,3594,7373,3363,6720,231,653,2148,2717,1219,2494,3713,2017,688,424,1205,1873,9567,6.30,-0.76,5.55,100.5,114.9,108.7,.503,12.3,33.8,0.291,.486,13.5,33.5,0.233
139,1988-89,PHO*,NBA,82,55,27,.671,19755,3754,7545,3586,7064,168,481,2051,2594,1095,2619,3714,2280,693,416,1279,1933,9727,7.70,-0.86,6.84,104.5,113.1,105.7,.509,12.8,30.8,0.272,.476,13.5,32.3,0.225
140,1989-90,CHI*,NBA,82,55,27,.671,19830,3531,7090,3281,6421,250,669,1665,2140,1075,2279,3354,2172,814,388,1247,1906,8977,3.26,-0.52,2.74,96.7,112.3,109.0,.516,13.4,31.9,0.235,.508,15.2,31.9,0.262
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
141,1989-90,UTA*,NBA,82,55,27,.671,19830,3330,6593,3104,5963,226,630,1874,2484,953,2501,3454,2212,677,491,1410,2031,8760,4.79,0.03,4.82,96.1,110.3,105.4,.522,15.5,30.1,0.284,.468,13.4,30.5,0.268
142,1990-91,PHO*,NBA,82,55,27,.671,19730,3573,7199,3435,6767,138,432,2064,2680,1132,2598,3730,2209,687,535,1302,1850,9348,6.55,-0.06,6.49,101.0,112.6,106.1,.506,13.5,33.0,0.287,.474,13.1,31.5,0.227
